Label (Grouping),    Total:
Census Tract 1.01,53.2
Census Tract 1.01,±10.4
Census Tract 1.02,47.1
Census Tract 1.02,±2.6
Census Tract 1.03,43.1
Census Tract 1.03,±3.1
Census Tract 1.04,37.4
Census Tract 1.04,±13.8
Census Tract 1.05,39.6
Census Tract 1.05,±2.4
Census Tract 2,37.7
Census Tract 2,±3.2
Census Tract 3,43.7
Census Tract 3,±7.2
Census Tract 4,37.2
Census Tract 4,±4.9
Census Tract 5,20.5
Census Tract 5,±0.3
Census Tract 6,31.6
Census Tract 6,±3.0
Census Tract 7,22.6
Census Tract 7,±0.9
Census Tract 8,19.4
Census Tract 8,±0.1
Census Tract 9,36.8
Census Tract 9,±3.3
Census Tract 10,24.4
Census Tract 10,±1.2
Census Tract 11.01,21.8
Census Tract 11.01,±0.7
Census Tract 11.02,20.3
Census Tract 11.02,±0.3
Census Tract 12,19.9
Census Tract 12,±0.7
Census Tract 13.02,28.9
Census Tract 13.02,±3.2
Census Tract 13.03,24.4
Census Tract 13.03,±3.4
Census Tract 13.04,22.5
Census Tract 13.04,±0.7
Census Tract 101.01,39.5
Census Tract 101.01,±3.2
Census Tract 101.02,35.1
Census Tract 101.02,±1.4
Census Tract 102,40.1
Census Tract 102,±3.2
Census Tract 103,44.7
Census Tract 103,±2.1
Census Tract 104,32.6
Census Tract 104,±2.8
Census Tract 105,40.2
Census Tract 105,±3.3
Census Tract 106,43.8
Census Tract 106,±4.1
